isophoton_pT	deltaR_jet12	inv_mass	jet1_Eta	jet2_Eta	isophoton_Phi	jet2_Phi	label
23.6213	1.1589395049010756	92.88466513965535	-1.62443	-1.38694	0.0639175	2.96632	1
32.2519	1.7337937995185586	94.00678960628319	1.29694	1.76438	-2.77994	-0.598523	1
38.704	1.6573283315206433	105.57185258472789	0.134809	-0.257586	1.78133	-2.13168	1
51.9722	2.8203928526161075	192.3507766825263	-0.606413	0.302983	1.66041	2.79177	1
33.7838	1.0013625758215652	121.14576792519279	-2.3637	-2.14498	-1.55189	0.817956	1
18.4378	1.662188356708763	77.87116791859168	-0.86676	-0.183214	0.438306	2.38479	1
33.1476	2.0923727906424796	100.65198322596535	-1.3575	-1.44017	1.21637	-2.46791	1
28.9764	2.6704258416354327	146.59630897055322	0.44345	0.262753	-0.289044	1.0055	1
25.0835	2.4390211699114914	92.69684581911724	0.407249	-1.01793	-3.12547	-2.01861	1
35.6134	3.1800768845982326	149.9867891410303	-2.2329	0.57899	-2.89964	-0.204744	1
16.9999	3.11996287163913	165.41235239024851	-0.857922	-1.56435	0.380871	1.67343	1
20.6849	1.7307988961288945	105.70042622648964	-0.399471	-1.9213	1.8739	-2.06435	1
35.5933	2.0898680950292055	113.4652988908944	2.13248	1.16567	-1.24689	0.799621	1
62.0081	2.470241964106885	182.32799895620946	1.17772	-0.0665242	-2.65842	-0.482869	1
29.6845	3.1384319353404813	110.42563416851904	-0.124621	0.705118	0.349249	2.22087	1
89.1426	2.957361336702872	259.67834683839163	-0.188005	-0.34782	1.24165	0.61935	1
26.9925	1.27979743478649	101.47940994783129	0.0775925	-0.589402	-0.736538	-2.39155	1
